text,clean_text,actual_sentiment,predicted_sentiment,error_type,confidence,negative_probability,positive_probability,text_length,word_count
"@melissaa18 you being sad is making me sad, and also you wont be in religion, but drop by lunch kk ","<USER> you being sad is making me sad, and also you wont be in religion, but drop by lunch kk",1,0,false_negative,0.9948644712099415,0.9948644712099415,0.005135528790058509,93,20
@aarong405 it's shit and rainy and cold. Sucks hard!! ,<USER> it's shit and rainy and cold. Sucks hard!!,1,0,false_negative,0.9934309514076266,0.9934309514076266,0.006569048592373394,49,9
@JB04 Aww. Sucks for you. I have no such sights. ,<USER> Aww. Sucks for you. I have no such sights.,1,0,false_negative,0.9922464501947326,0.9922464501947326,0.0077535498052673825,49,10
@PeterSantilli YAY!!! ... as all who choose to NOT do right   ... even the one I voted for this time ... Thank You  and follw UR happy,<USER> YAY!!! ... as all who choose to NOT do right ... even the one I voted for this time ... Thank You and follw UR happy,0,1,false_positive,0.9921227480249396,0.007877251975060395,0.9921227480249396,123,27
"@damana that, and I miss my V8. But I don't miss paying for it, insuring it, or filling it ","<USER> that, and I miss my V8. But I don't miss paying for it, insuring it, or filling it",1,0,false_negative,0.9915023973688836,0.9915023973688836,0.008497602631116461,89,19
@SohFahrKreyZee oooh im sorry to late i smashed it ,<USER> oooh im sorry to late i smashed it,1,0,false_negative,0.9900109339347052,0.9900109339347052,0.009989066065294806,41,9
so freaking tired from last night. I wish my cold would just go away.  shelby ,so freaking tired from last night. I wish my cold would just go away. shelby,1,0,false_negative,0.9891073309365856,0.9891073309365856,0.010892669063414323,76,15
"McFly is now called McFlu! Terrible joke ha  But im ill because of mr Poynter, er! Sore throat sucks Â¬Â¬","McFly is now called McFlu! Terrible joke ha But im ill because of mr Poynter, er! Sore throat sucks Â¬Â¬",1,0,false_negative,0.9879768133809256,0.9879768133809256,0.012023186619074408,104,20
"@tinyklutzygirl Oh no, not sad at all! ","<USER> Oh no, not sad at all!",1,0,false_negative,0.9879660550034907,0.9879660550034907,0.012033944996509333,29,7
"I'm not overwhelmed with work today, so being at work isn't so bad. Means I get to talk to you lot. ","I'm not overwhelmed with work today, so being at work isn't so bad. Means I get to talk to you lot.",1,0,false_negative,0.9876088532735797,0.9876088532735797,0.012391146726420261,99,21
I feel sick;; gettin off work in close to an hour. ,I feel sick;; gettin off work in close to an hour.,1,0,false_negative,0.9873144215191328,0.9873144215191328,0.012685578480867174,50,11
Oh. No we're not ,Oh. No we're not,1,0,false_negative,0.9870553217021726,0.9870553217021726,0.012944678297827394,16,4
"@UrbanInformer now that's a good idea!! Whatever will I do for those 8 LONG DAYS??  Have a safe trip, and a wonderful time!!","<USER> now that's a good idea!! Whatever will I do for those 8 LONG DAYS?? Have a safe trip, and a wonderful time!!",0,1,false_positive,0.9870433324944132,0.012956667505586772,0.9870433324944132,115,23
@arianneross getting lost is no fun--unless you have no where to go ,<USER> getting lost is no fun--unless you have no where to go,1,0,false_negative,0.9868970533037811,0.9868970533037811,0.013102946696218927,61,12
"@mcr_rocks_alot no im not mad at you hun, i hate being mad ","<USER> no im not mad at you hun, i hate being mad",1,0,false_negative,0.9867818237410263,0.9867818237410263,0.01321817625897373,49,12
@idkDiVAS thankss ,<USER> thankss,0,1,false_positive,0.9867389139251835,0.013261086074816464,0.9867389139251835,14,2
@leximaex it's just... argh. At least you aren't angry ,<USER> it's just... argh. At least you aren't angry,1,0,false_negative,0.9864439170667538,0.9864439170667538,0.013556082933246161,51,9
"@phunybuny Night! &lt;3 So happy for ya! And wait, 15 peeps at the show? awww ","<USER> Night! <3 So happy for ya! And wait, 15 peeps at the show? awww",0,1,false_positive,0.9859824971500115,0.014017502849988484,0.9859824971500115,70,15
@endlessblush Nuts!  You should watch &quot;Role Models&quot;. Now that'll get you smiling.,"<USER> Nuts! You should watch ""Role Models"". Now that'll get you smiling.",0,1,false_positive,0.9852829383847658,0.014717061615234228,0.9852829383847658,73,12
@fromwherever: The only bad part is that I can't find any of my stuff because hes hid it away in a stack somewhere ,<USER>: The only bad part is that I can't find any of my stuff because hes hid it away in a stack somewhere,1,0,false_negative,0.9852562920503662,0.9852562920503662,0.014743707949633792,107,23
@echoshack - finally watched that clip you sent me - the memories  - thanks for sharing,<USER> - finally watched that clip you sent me - the memories - thanks for sharing,0,1,false_positive,0.9834319489508913,0.016568051049108745,0.9834319489508913,82,16
"@BrickSh0t7 ugh i hate you, we got snow in the middle of April...dont you just miss Canada?   *ends sarcasm*","<USER> ugh i hate you, we got snow in the middle of April...dont you just miss Canada? *ends sarcasm*",1,0,false_negative,0.9831310877994629,0.9831310877994629,0.01686891220053712,101,19
@hotel_max dang...cant' believe I was out of the loop to miss a tweet up there? Must not miss next one! ,<USER> dang...cant' believe I was out of the loop to miss a tweet up there? Must not miss next one!,1,0,false_negative,0.9830930985581517,0.9830930985581517,0.016906901441848213,99,20
Still tired... Still sick... Cav's won tho ,Still tired... Still sick... Cav's won tho,1,0,false_negative,0.9823485211081944,0.9823485211081944,0.017651478891805635,42,7
@juicyjoy24 aw I'm tryin boo ,<USER> aw I'm tryin boo,1,0,false_negative,0.9823476844639656,0.9823476844639656,0.01765231553603446,23,5
"I ended up, true to form, doing nothing  I do feel bad leaving dad the washing up but he didn't do any last week so balls to guilt ","I ended up, true to form, doing nothing I do feel bad leaving dad the washing up but he didn't do any last week so balls to guilt",1,0,false_negative,0.981378955571939,0.981378955571939,0.018621044428061062,129,28
"@BIG_WHITE LOL you are my new fave person haha - and yah, I am that old ","<USER> LOL you are my new fave person haha - and yah, I am that old",0,1,false_positive,0.9810291787318722,0.01897082126812777,0.9810291787318722,67,16
"@kkjordan yea, I wish that was my ass ","<USER> yea, I wish that was my ass",1,0,false_negative,0.9804840333674419,0.9804840333674419,0.019515966632558043,34,8
@hodapp hehe. @148apps beat u. :p ,<USER> hehe. <USER> beat u. :p,0,1,false_positive,0.9804537647923554,0.019546235207644647,0.9804537647923554,30,6
bored as fuck..n hungry ,bored as fuck..n hungry,1,0,false_negative,0.9801162624527214,0.9801162624527214,0.01988373754727861,23,4
@stupidNGUYEN get well soon  School was the same boring crap. I hate Spooner 'cause of my Commerce mark. I'm not gonna tell anyone :|,<USER> get well soon School was the same boring crap. I hate Spooner 'cause of my Commerce mark. I'm not gonna tell anyone :|,1,0,false_negative,0.9800044890617738,0.9800044890617738,0.019995510938226168,125,24
@xSLG  ok your POV. Personaly I think they are great live,<USER> ok your POV. Personaly I think they are great live,0,1,false_positive,0.9798924893348032,0.02010751066519678,0.9798924893348032,57,11
@MizFitOnline i grow sad as it nears 7am because i have to wake up and go work ,<USER> i grow sad as it nears 7am because i have to wake up and go work,1,0,false_negative,0.9796524129764133,0.9796524129764133,0.020347587023586727,71,17
@2fly2Bking I failed.. *sigh* I need an A for effort. I tried so hard! that's my word son.. lol ,<USER> I failed.. *sigh* I need an A for effort. I tried so hard! that's my word son.. lol,1,0,false_negative,0.9791312951172532,0.9791312951172532,0.020868704882746822,90,19
Sorry about disappearing earlier... having problems with my phone and internet connection... it's coming &amp; going... I'm here for now ,Sorry about disappearing earlier... having problems with my phone and internet connection... it's coming & going... I'm here for now,1,0,false_negative,0.9783162636751566,0.9783162636751566,0.021683736324843418,132,20
wish i was in kiama ,wish i was in kiama,1,0,false_negative,0.9778188920780542,0.9778188920780542,0.02218110792194585,19,5
UH I missed my first DATE yesterday lol HMM its hard trying to TURN in MY PLAYAH CARD ...Ill guess Ill become SUBMISSIVE ,UH I missed my first DATE yesterday lol HMM its hard trying to TURN in MY PLAYAH CARD ...Ill guess Ill become SUBMISSIVE,1,0,false_negative,0.9762370768315303,0.9762370768315303,0.023762923168469768,120,23
"@Wengles  lol, did you enjoy your pizza?","<USER> lol, did you enjoy your pizza?",0,1,false_positive,0.9748742810740082,0.025125718925991802,0.9748742810740082,37,7
