text,clean_text,actual_sentiment,predicted_sentiment,error_type,confidence,negative_probability,positive_probability,text_length,word_count
@minorityx boo you. though it is kinda weird ,<USER> boo you. though it is kinda weird,1,0,false_negative,0.8169695587180203,0.8169695587180203,0.18303044128197965,40,8
@MrEricPiRaTe was up a good movie?? i wanna see that so bad! ,<USER> was up a good movie?? i wanna see that so bad!,1,0,false_negative,0.5753885358725908,0.5753885358725908,0.42461146412740924,53,12
@Mum_of_Six Yes. Not a normal one. A very dramatic one. Silly face &amp; everything ,<USER> Yes. Not a normal one. A very dramatic one. Silly face & everything,0,1,false_positive,0.7385161292493888,0.2614838707506112,0.7385161292493888,74,14
@dahliapkitten Humans like that need to be deaded!!! Hope you have a better life where you are now. Humans can be so cruel. ,<USER> Humans like that need to be deaded!!! Hope you have a better life where you are now. Humans can be so cruel.,0,1,false_positive,0.5628677140206775,0.4371322859793225,0.5628677140206775,115,23
@EsmeACullen AWWWWWWW you totally rock...I felt all  and now I'm the happiest girl eva!,<USER> AWWWWWWW you totally rock...I felt all and now I'm the happiest girl eva!,0,1,false_positive,0.5578532433995282,0.44214675660047176,0.5578532433995282,80,14
"@nancyadoresjon yeah tell the whole world your idea! your screwed now!  people steal, how many times i gotta tell u?????","<USER> yeah tell the whole world your idea! your screwed now! people steal, how many times i gotta tell u?????",0,1,false_positive,0.8512812971028735,0.14871870289712652,0.8512812971028735,110,20
"@MarieC09 Same, watched it last week though and liked it so thought I'd tune into the final. Having pizza too ","<USER> Same, watched it last week though and liked it so thought I'd tune into the final. Having pizza too",1,0,false_negative,0.5688859508718194,0.5688859508718194,0.4311140491281807,106,20
"going home on the car, with a 50000 kg box on my head ","going home on the car, with a 50000 kg box on my head",0,1,false_positive,0.7048213115296362,0.29517868847036377,0.7048213115296362,53,13
@tommcfly maby some day you will come to make show in israel ?  i sure you gonna enjoy in here to ! ,<USER> maby some day you will come to make show in israel ? i sure you gonna enjoy in here to !,0,1,false_positive,0.952404728733627,0.047595271266372974,0.952404728733627,95,22
"@headfirstfor haha, boa sorte mics! ","<USER> haha, boa sorte mics!",0,1,false_positive,0.9575871603387558,0.042412839661244206,0.9575871603387558,28,5
I'm back at home. So nice to have Internet again ,I'm back at home. So nice to have Internet again,1,0,false_negative,0.5278939265948275,0.5278939265948275,0.4721060734051725,48,10
Organizing meetup with HS batchmates through SMS. Magastos! ,Organizing meetup with HS batchmates through SMS. Magastos!,0,1,false_positive,0.5293837520623271,0.47061624793767287,0.5293837520623271,59,8
@charlestlee : and if they need i ride i may be going their way ,<USER> : and if they need i ride i may be going their way,1,0,false_negative,0.5554729982037898,0.5554729982037898,0.44452700179621013,57,14
"@awalker2334 Haha, dude, if you sounded like Urkel then i sounded like sexxman! Except i kinda did sound like him. ","<USER> Haha, dude, if you sounded like Urkel then i sounded like sexxman! Except i kinda did sound like him.",0,1,false_positive,0.7649972373410978,0.2350027626589022,0.7649972373410978,108,20
@yoko71 Yoko I miss you too ,<USER> Yoko I miss you too,1,0,false_negative,0.9748715965575231,0.9748715965575231,0.025128403442476945,26,6
@BroadwayManor  they are a long way from the sea  unless they came from Gloucester docks.,<USER> they are a long way from the sea unless they came from Gloucester docks.,1,0,false_negative,0.5298821749809232,0.5298821749809232,0.47011782501907684,79,15
@markygk if they are i think my mum helped me she suggested Jude Law and A Semester Abroad? i dunno though that seems a little strange ,<USER> if they are i think my mum helped me she suggested Jude Law and A Semester Abroad? i dunno though that seems a little strange,0,1,false_positive,0.5650982404570494,0.43490175954295063,0.5650982404570494,132,26
"@BitchNotAPerson Actually, I'm supposed to do that w/ my dad + cousin, My cousin is in trouble though, so we never get together ","<USER> Actually, I'm supposed to do that w/ my dad + cousin, My cousin is in trouble though, so we never get together",0,1,false_positive,0.6025072001403233,0.39749279985967667,0.6025072001403233,117,23
@wimjimjam is it a big project? What arses you get a small break AND homework ,<USER> is it a big project? What arses you get a small break AND homework,0,1,false_positive,0.5165564527632271,0.48344354723677285,0.5165564527632271,73,15
"@TheThunderStorm No!  we have um...&quot;mag&quot; magazine, hahaha XD Placebo's on our","<USER> No! we have um...""mag"" magazine, hahaha XD Placebo's on our",0,1,false_positive,0.768160644615287,0.231839355384713,0.768160644615287,66,11
@andrea1ista ohhhh love that place too! I miss Ft Lauderdale/Miami ,<USER> ohhhh love that place too! I miss Ft Lauderdale/Miami,0,1,false_positive,0.5166380743015432,0.4833619256984568,0.5166380743015432,60,10
Think I'm getting back into my LJ again ,Think I'm getting back into my LJ again,1,0,false_negative,0.6924287115658629,0.6924287115658629,0.3075712884341371,39,8
@kirsty_wilson lol I've never seen vivid blue icing. Doesn't sound too bad actually. Vivid green though doesn't work as well ,<USER> lol I've never seen vivid blue icing. Doesn't sound too bad actually. Vivid green though doesn't work as well,1,0,false_negative,0.9221551974029927,0.9221551974029927,0.07784480259700727,116,20
@_shannon1234 ;its &quot;boo-tee-full&quot; lol!  Gee i dont like the wat ole Felix treats Anna! He is such an ass.,"<USER> ;its ""boo-tee-full"" lol! Gee i dont like the wat ole Felix treats Anna! He is such an ass.",1,0,false_negative,0.5758759576607845,0.5758759576607845,0.4241240423392155,97,19
@photo_ed Twitcher ,<USER> Twitcher,0,1,false_positive,0.8236328807662727,0.17636711923372728,0.8236328807662727,15,2
@gigglepops I woke up a bit ago  I could barely go to sleep and was quite chipper when I woke up  the singing and chanting was ringing..,<USER> I woke up a bit ago I could barely go to sleep and was quite chipper when I woke up the singing and chanting was ringing..,1,0,false_negative,0.6005198055255728,0.6005198055255728,0.3994801944744272,129,27
"@Web_preneurs says Everyone is invited to Join and exchange ideas, help other internet entrepreneurs and build friendships. ","<USER> says Everyone is invited to Join and exchange ideas, help other internet entrepreneurs and build friendships.",1,0,false_negative,0.5377848769760758,0.5377848769760758,0.4622151230239242,116,17
