sentiment,text,duplicate_key
0,having the worst day ever!! ,having the worst day ever!!
0,trying to think of a few video ideas while im studying.. haha not really working out  anybody have any ideas for me? ,trying to think of a few video ideas while im studying.. haha not really working out anybody have any ideas for me?
0,"@mandeev I can't go today.  Give them my love, I'll see you guys soon.  Ily!","@mandeev i can't go today. give them my love, i'll see you guys soon. ily!"
0,"@Lucy_nessa oooooh. it better not rain  if it does i'm wearing jeans, a jacket and trainers! haha. but if it's sunny - dress &amp; heels! ","@lucy_nessa oooooh. it better not rain if it does i'm wearing jeans, a jacket and trainers! haha. but if it's sunny - dress & heels!"
1,"@semsy Me either! Poor guy  Anyway, how are ya? ","@semsy me either! poor guy anyway, how are ya?"
0,@peterfacinelli no fair don't have an iPhone   Just an iTouch. Good luck with Nurse Jackie ,@peterfacinelli no fair don't have an iphone just an itouch. good luck with nurse jackie
0,Haha scary movie is on mtv  but I can't watch it gotta wake up early tomorrow ,haha scary movie is on mtv but i can't watch it gotta wake up early tomorrow
1,@BigDaveP I can't get over that Letterman is from Indianapolis where I live!  People here have a lot more CLASS! ,@bigdavep i can't get over that letterman is from indianapolis where i live! people here have a lot more class!
0,@J_Rhodes Loving your clip babe! Well done  Heheh... Aww I don't think I'll make it to Dallas this time ,@j_rhodes loving your clip babe! well done heheh... aww i don't think i'll make it to dallas this time
0,@MussoMitchel i know you're busy replying.. but I wrote to you the last few days and you never once answered me  don't ya like me? ,@mussomitchel i know you're busy replying.. but i wrote to you the last few days and you never once answered me don't ya like me?
1,@LimeIce i told yoooo... and i asked you for ur number as well  but pictures comminup this week ,@limeice i told yoooo... and i asked you for ur number as well but pictures comminup this week
1,i got growing pains in my legs which means i am getting taller  but i am losing my huggable size though ,i got growing pains in my legs which means i am getting taller but i am losing my huggable size though
0,I love you ,i love you
1,I have been up all night and in tremendous amounts of pain!!  Whine over.  Pleased to see it's another beautiful day ,i have been up all night and in tremendous amounts of pain!! whine over. pleased to see it's another beautiful day
1,@chenks seen that!  hopefully ebay replacement  will work for you!  but take it to bits anyway! lol,@chenks seen that! hopefully ebay replacement will work for you! but take it to bits anyway! lol
1,"@mandeev I can't go today.  Give them my love, I'll see you guys soon.  Ily!","@mandeev i can't go today. give them my love, i'll see you guys soon. ily!"
1,@KyraLovesLife i cant saturday  maybe next saturday?  haha,@kyraloveslife i cant saturday maybe next saturday? haha
1,just got back from school.  SHEMMS!! Summer class has been officially ended.  http://plurk.com/p/wxsgy,just got back from school. shemms!! summer class has been officially ended. http://plurk.com/p/wxsgy
1,#NAME?,#name?
0,Singapore was OFF THE HOOK last night  forced my self up early to see the place in the day as i leave at 11pm tonight  not enough time!,singapore was off the hook last night forced my self up early to see the place in the day as i leave at 11pm tonight not enough time!
1,"@Lucy_nessa it is! haha. aaaaaaaah. i'm gonna put my pic of me and her in too, and ask her to sign it  ashhhhh &lt;3 we need an ash pic! ","@lucy_nessa it is! haha. aaaaaaaah. i'm gonna put my pic of me and her in too, and ask her to sign it ashhhhh <3 we need an ash pic!"
0,Takin' a study break to grab lunch w/zee momma at my favorite veggie place!  I wish they had 'em out in LA! ,takin' a study break to grab lunch w/zee momma at my favorite veggie place! i wish they had 'em out in la!
0,Off to work ,off to work
0,"@makinherownway aww. i really wana go to 3Oh!3, The Acadmey is n you me at six  but i think im goin 2 SS n the getaway plan is in 2wks ","@makinherownway aww. i really wana go to 3oh!3, the acadmey is n you me at six but i think im goin 2 ss n the getaway plan is in 2wks"
0,@charlii1 awwww they are lovely  i wish i had an older brother  anyways...mum liked my skirt! haha xx,@charlii1 awwww they are lovely i wish i had an older brother anyways...mum liked my skirt! haha xx
0,@iammilky Awww no. PPW only has green tea  But I will find one for youuu ,@iammilky awww no. ppw only has green tea but i will find one for youuu
1,"@sofiesunshine awesome  i'm really looking forward to it, hope Ness is better though  bless her","@sofiesunshine awesome i'm really looking forward to it, hope ness is better though bless her"
0,"http://twitpic.com/6u3u5 - im UPSET  but when lifes not easy, pray ","http://twitpic.com/6u3u5 - im upset but when lifes not easy, pray"
0,"Come mister tally man, tally me corona... daylight came and now it goes home  need more drinkies! ","come mister tally man, tally me corona... daylight came and now it goes home need more drinkies!"
1,"@cillaaa  its okay, were seeing them on saturday too! ","@cillaaa its okay, were seeing them on saturday too!"
0,Operation go buy SIMS before school = FAIL!  Ghetto Wal-mart...can seem to locate the box they all came in! I got the okie doke! ,operation go buy sims before school = fail! ghetto wal-mart...can seem to locate the box they all came in! i got the okie doke!
1,i got a nice nap again. dreamt of archey again  always. since after the 16 ,i got a nice nap again. dreamt of archey again always. since after the 16
1,@Karen_Eden They do.  But expensive.  Will keep checking to see if price comes down.,@karen_eden they do. but expensive. will keep checking to see if price comes down.
0,@LookingForSocks I'm sorry to hear it.  I hope you feel better soon. Snuggle up with a blanket and a sleepy movie.  It's what I do.,@lookingforsocks i'm sorry to hear it. i hope you feel better soon. snuggle up with a blanket and a sleepy movie. it's what i do.
0,@JonathanRKnight that really was an awful trip!    so glad you made it safely to your place - hope you get that much needed rest.  ,@jonathanrknight that really was an awful trip! so glad you made it safely to your place - hope you get that much needed rest.
0,Good evening everyone  havent learnt my lesson and have ended up even more sunburnt  how is everyone else? xxx,good evening everyone havent learnt my lesson and have ended up even more sunburnt how is everyone else? xxx
0,At the cafe without my laptop or my bag :S I feel I'm lost  can't survive without my stuff ,at the cafe without my laptop or my bag :s i feel i'm lost can't survive without my stuff
1,&quot;@mileycyrus&quot;you are the best!!!! I love you  can you give me your e-mail???I want to write with you but I cant ,"""@mileycyrus""you are the best!!!! i love you can you give me your e-mail???i want to write with you but i cant"
1,@therealpickler OMG me 2!!! and the virus i have have made me hurt my neck   i hope u get better ,@therealpickler omg me 2!!! and the virus i have have made me hurt my neck i hope u get better
1,@kdaly100 ouch  ... when she's back to you in 3 months saying its still not working ... ,@kdaly100 ouch ... when she's back to you in 3 months saying its still not working ...
1,"Why did the US lose the Viet war? I need some ideas for my history assigment, any feedback would be most appreciated  ;bad headache ","why did the us lose the viet war? i need some ideas for my history assigment, any feedback would be most appreciated ;bad headache"
1,"@InLuvwithJON LOL, yah we don't need you orange for Tinley  You are lucky that you are able to tan, it sucks being as pale as we are ","@inluvwithjon lol, yah we don't need you orange for tinley you are lucky that you are able to tan, it sucks being as pale as we are"
1,@mileycyrus I voted  Multiple times  But it's not on TV here tonight  I wonder when I'll see it...,@mileycyrus i voted multiple times but it's not on tv here tonight i wonder when i'll see it...
1,@svn8teen Yeah  Talk to you tom! Homeworks ,@svn8teen yeah talk to you tom! homeworks
0,just got home from the trip  it was fun but it's very very HOT there ,just got home from the trip it was fun but it's very very hot there
1,@svn8teen Oh. Hahaha. Yeah. Good luck  Is 3rd year hard? So I should recite na ba or what? I need advice! ,@svn8teen oh. hahaha. yeah. good luck is 3rd year hard? so i should recite na ba or what? i need advice!
1,#jaljeera can't beat #followfriday  More People know Friday than Jaljeera ,#jaljeera can't beat #followfriday more people know friday than jaljeera
1,taking the hp trivia on facebook again  then later im making a list of what to do during my last week of summer ,taking the hp trivia on facebook again then later im making a list of what to do during my last week of summer
0,&quot;@mileycyrus&quot;you are the best!!!! I love you  can you give me your e-mail???I want to write with you but I cant ,"""@mileycyrus""you are the best!!!! i love you can you give me your e-mail???i want to write with you but i cant"
0,"@mclamb4life2 I went there for work experience, LOL. Well it was lovely talking to you ;) I have school soon  I hope we can talk later! ","@mclamb4life2 i went there for work experience, lol. well it was lovely talking to you ;) i have school soon i hope we can talk later!"
0,@emoisforluvers whole shelf!  oh and blood starts after 90 seconds. Fast forward to it ,@emoisforluvers whole shelf! oh and blood starts after 90 seconds. fast forward to it
1,"http://twitpic.com/6u3u5 - im UPSET  but when lifes not easy, pray ","http://twitpic.com/6u3u5 - im upset but when lifes not easy, pray"
1,Off to work ,off to work
1,@Vixster25 Internet 1 drawing 0 ....damn I'm backing up blackberry files which could take hours  then to the drawing preps done ,@vixster25 internet 1 drawing 0 ....damn i'm backing up blackberry files which could take hours then to the drawing preps done
0,@latinqttwitts4u Me too!!!  but would like to avoid the humidity that comes along with it after a lot of rain ,@latinqttwitts4u me too!!! but would like to avoid the humidity that comes along with it after a lot of rain
0,@svn8teen Yeah  Talk to you tom! Homeworks ,@svn8teen yeah talk to you tom! homeworks
0,"@XinNixD but then again, it's the Chinese 'A's, which is tough!  Oh well, I did my best. ","@xinnixd but then again, it's the chinese 'a's, which is tough! oh well, i did my best."
0,@rkb09 graphics  reli need to revise for it aswell cos I want an A in it :|..got 4 left aswell..finish on wednesday ,@rkb09 graphics reli need to revise for it aswell cos i want an a in it :|..got 4 left aswell..finish on wednesday
